global_step,mcc,train_loss,eval_loss,macro_f1,weighted_f1,accuracy
400,0.655674428178606,0.49191543459892273,0.542190395549617,0.7538198512910892,0.7669948431408378,0.7784810126582279
790,0.7587906256095494,0.27714982628822327,0.593344055433673,0.8278812324369516,0.8405899650110987,0.8417721518987342
800,0.7520105742426902,0.10035786032676697,0.4912891392384402,0.8309966169198013,0.8390709496762337,0.8417721518987342
1200,0.7632712299263871,0.2619808614253998,0.5013083804091862,0.8313625948298718,0.8473896739432919,0.8481012658227848
1580,0.7639945214927545,0.13793306052684784,0.5481909593905915,0.8371005693449107,0.846090260613366,0.8493670886075949
1600,0.7957050304393206,0.6208041310310364,0.4379551896126941,0.8602130466201475,0.8677520965463367,0.8696202531645569
2000,0.8061670809542288,0.001687056152150035,0.6094923334272938,0.8673748661943953,0.8763908854305232,0.8759493670886076
2370,0.8043877775398628,1.4107106924057007,0.6453885983752446,0.8661965942803659,0.8752919167964621,0.8746835443037975
2400,0.7971095612522656,0.023652344942092896,0.6719869621414215,0.8588305083310203,0.8697577527000646,0.8708860759493671
2800,0.8152315315405473,0.019174793735146523,0.7424736444586002,0.8760765172329227,0.8820397829657798,0.8810126582278481
3160,0.8180971492993472,0.0004801434406545013,0.7451387542949471,0.8753289724082788,0.8839230578883439,0.8835443037974684
3200,0.7942587996214332,0.7672478556632996,0.8711390057826727,0.8577005367491566,0.8657190080714698,0.8683544303797468
3600,0.8211094210366623,0.00018076063133776188,0.7897948036649144,0.8768923304985071,0.8854263995259379,0.8848101265822785
3950,0.8274798934969382,0.00028788228519260883,0.7925415026432099,0.8820519461460328,0.8895205652097965,0.8886075949367088
